Distance (m),Height (m)
0.0,-300.0
250.0,-137.62687479814915
500.0,-35.25374959629823
750.0,-32.88062439444734
1000.0,-130.50749919259647
1250.0,-288.13437399074553
1500.0,-125.76124878889468
1750.0,-23.388123587043772
2000.0,-21.01499838519288
2250.0,-120.20040194613024
2500.0,-279.395718211742
2750.0,-118.59103447735384
3000.0,-17.92215879792601
3250.0,-17.628979453220452
3500.0,-117.33580010851492
3750.0,-277.04262076380934
4000.0,-117.27127914706986
4250.0,-17.588703688212014
4500.0,-17.906128229354184
4750.0,-117.46164981495366
5000.0,-276.69724166164497
5250.0,-115.7863027355633
5500.0,-13.354257719827153
5750.0,-10.922212704091027
6000.0,-108.85947571174646
6250.0,-268.1891349211947
6500.0,-107.51879413064303
6750.0,-46.877826050221906
7000.0,-106.33741043084488
7250.0,-265.6001831047893
7500.0,-104.53583939700067
7750.0,-43.471495689212
8000.0,-103.00000000000003
8250.0,-263.0
8500.0,-103.00000000000003
8750.0,-42.10218134547401
9000.0,-101.0133576225641
9250.0,-259.92453389965414
9500.0,-98.69065210110963
9750.0,-36.64046223378096
10000.0,-94.5902723664523
10250.0,-252.52260527554208
10500.0,-90.39450659494229
10750.0,-28.266407914342466
11000.0,-86.11004679507286
11250.0,-243.91214899302605
11500.0,-81.71425119097927
11750.0,-20.304375246817393
12000.0,-81.68758701894318
12250.0,-243.0707987910689
12500.0,-81.42388493766333
12750.0,-13.575361203983874
13000.0,-65.72683747030445
13250.0,-218.22273044785422
13500.0,-92.78411652641151
13750.0,-87.34550260496879
14000.0,-201.90688868352606
14250.0,-79.04992071288403
14500.0,-77.58686396602583
14750.0,-196.12380721916765
15000.0,-76.5805377563794
15250.0,-77.21474345420889
15500.0,-197.84894915203836
15750.0,-77.51687997930465
16000.0,-76.88271999944666
16250.0,-196.2485600195887
16500.0,-75.74819986962679
16750.0,-75.33408788296012
17000.0,-194.63112429690108
17250.0,-72.72225130528952
17500.0,-70.89863040837471
17750.0,-189.86176443937745
18000.0,-68.82489847038015
18250.0,-67.82658388686407
18500.0,-186.9782969213647
18750.0,-66.13000995586529
19000.0,-64.38398495429863
19250.0,-182.4754670970757
19500.0,-60.56694923985276
19750.0,-57.915256217886764
20000.0,-174.94949607384206
20250.0,-52.0
20500.0,-52.0
20750.0,-172.0
21000.0,-52.0
21250.0,-51.419373432003766
21500.0,-170.65990400833633
21750.0,-49.87589517585454
22000.0,-48.929242977853335
22250.0,-167.9937233848155
22500.0,-47.65242311346813
22750.0,-47.31112284212074
23000.0,-166.87598071991133
23250.0,-45.47334918265622
23500.0,-44.07071764540112
23750.0,-162.668086108146
24000.0,-42.44129413651197
24250.0,-43.283955527555094
24500.0,-163.8957731024671
24750.0,-43.20212186350531
25000.0,-42.50847062454352
25250.0,-162.2036851963877
25500.0,-42.966651067714764
25750.0,-43.72961693904182
26000.0,-164.0
26250.0,-44.0
26500.0,-43.66441770556034
26750.0,-162.9708905682566
27000.0,-42.2773634309529
27250.0,-41.71611351485282
27500.0,-161.24302329011954
27750.0,-40.831386066013835
28000.0,-40.484662604615096
28250.0,-160.13793914321636
28500.0,-40.25516461224362
28750.0,-40.67891079372788
29000.0,-161.0
29250.0,-41.0
29500.0,-41.0
29750.0,-160.93950108383555
30000.0,-40.30616485639874
30250.0,-39.67282862896192
30500.0,-159.03949240152514
30750.0,-38.21037356066941
31000.0,-37.36823458683696
31250.0,-157.19424997646678
31500.0,-37.53943664351968
31750.0,-37.88462331057258
32000.0,-157.28208995407658
32250.0,-36.20375132597758
32500.0,-35.250091745769
32750.0,-154.32547846118769
33000.0,-33.40086517660637
33250.0,-34.07753850882395
33500.0,-155.97980107500067
33750.0,-37.88206364117735
34000.0,-39.78432620735407
34250.0,-160.59912497877326
34500.0,-39.488460814147544
34750.0,-38.377796649521855
35000.0,-154.8909279935427
35250.0,-30.179114750839773
35500.0,-25.467301508136842
35750.0,-140.7554882654339
36000.0,-18.628541376217726
36250.0,-17.0
36500.0,-137.0
36750.0,-17.0
37000.0,-17.128899087999542
37250.0,-138.99192740833698
37500.0,-20.854955728674412
37750.0,-22.717984049011847
38000.0,-143.67354135089997
38250.0,-22.626744861225177
38500.0,-22.21622079612135
38750.0,-142.75505734630906
39000.0,-23.29389389649677
39250.0,-23.832730446684508
39500.0,-144.0
39750.0,-24.0
40000.0,-24.210889680097864
40250.0,-144.61246758618955
